Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.168627,-64.723219,-90.0,top
C2,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.624343,-79.311058,-120.0,top
C3,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-77.25,180.0,top
C4,4.7nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-81.25,180.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.5,-66.5,180.0,top
C6,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58.5,-66.5,0.0,top
C7,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-80.75,0.0,top
C8,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-83.0,0.0,top
C9,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-79.25,0.0,top
C10,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-77.5,180.0,top
C11,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-75.25,180.0,top
D0_0,1N4148W,D_SOD-123,22.0,-36.25,180.0,top
D0_1,1N4148W,D_SOD-123,40.0,-24.25,180.0,top
D0_2,1N4148W,D_SOD-123,58.0,-17.25,180.0,top
D0_3,1N4148W,D_SOD-123,76.0,-22.75,180.0,top
D0_4,1N4148W,D_SOD-123,94.0,-25.25,180.0,top
D1,SMF9.0CA,D_SOD-123,109.531156,-68.399778,180.0,top
D1_0,1N4148W,D_SOD-123,22.0,-53.25,180.0,top
D1_1,1N4148W,D_SOD-123,40.0,-41.25,180.0,top
D1_2,1N4148W,D_SOD-123,58.0,-34.25,180.0,top
D1_3,1N4148W,D_SOD-123,76.0,-39.5,180.0,top
D1_4,1N4148W,D_SOD-123,94.0,-42.25,180.0,top
D2,RB060M-30TR,D_SOD-123,109.531156,-70.899778,180.0,top
D2_0,1N4148W,D_SOD-123,22.0,-70.25,180.0,top
D2_1,1N4148W,D_SOD-123,40.0,-58.25,180.0,top
D2_2,1N4148W,D_SOD-123,58.0,-51.0,180.0,top
D2_3,1N4148W,D_SOD-123,76.0,-56.75,180.0,top
D2_4,1N4148W,D_SOD-123,94.0,-59.25,180.0,top
D3,1N4148W,D_SOD-123,45.0,-76.75,0.0,top
D3_3,1N4148W,D_SOD-123,85.665,-76.79,165.0,top
D3_4,1N4148W,D_SOD-123,105.325,-84.86,150.0,top
F1,500mA,Fuse_1206_3216Metric,109.531156,-65.899778,180.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.675579,-53.555419,90.0,top
Jack0,PJ-320A,TRRS-PJ-320A,113.1674,-80.571939,-120.0,top
K0_0,KEYSW,Choc_PG1350_Choc_Spacing,22.0,-41.0,0.0,top
K0_1,KEYSW,Choc_PG1350_Choc_Spacing,40.0,-29.0,0.0,top
K0_2,KEYSW,Choc_PG1350_Choc_Spacing,58.0,-22.0,0.0,top
K0_3,KEYSW,Choc_PG1350_Choc_Spacing,76.0,-27.5,0.0,top
K0_4,KEYSW,Choc_PG1350_Choc_Spacing,94.0,-30.0,0.0,top
K1_0,KEYSW,Choc_PG1350_Choc_Spacing,22.0,-58.0,0.0,top
K1_1,KEYSW,Choc_PG1350_Choc_Spacing,40.0,-46.0,0.0,top
K1_2,KEYSW,Choc_PG1350_Choc_Spacing,58.0,-39.0,0.0,top
K1_3,KEYSW,Choc_PG1350_Choc_Spacing,76.0,-44.5,0.0,top
K1_4,KEYSW,Choc_PG1350_Choc_Spacing,94.0,-47.0,0.0,top
K2_0,KEYSW,Choc_PG1350_Choc_Spacing,22.0,-75.0,0.0,top
K2_1,KEYSW,Choc_PG1350_Choc_Spacing,40.0,-63.0,0.0,top
K2_2,KEYSW,Choc_PG1350_Choc_Spacing,58.0,-56.0,0.0,top
K2_3,KEYSW,Choc_PG1350_Choc_Spacing,76.0,-61.5,0.0,top
K2_4,KEYSW,Choc_PG1350_Choc_Spacing,94.0,-64.0,0.0,top
K3_3,KEYSW,Choc_PG1350_Choc_Spacing,84.455,-81.28,-15.0,top
K3_4,KEYSW,Choc_PG1350_Choc_Spacing,103.015,-88.99,-30.0,top
Q1,"PDTC123JT,215",SOT-23,45.0,-80.0,0.0,top
R1,5.1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.037679,-67.669135,180.0,top
R2,5.1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.060207,-69.741686,180.0,top
R3,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.122358,-64.723219,-90.0,top
R4,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.599343,-75.890258,60.0,top
R5,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-75.25,180.0,top
SW1,B3U-1000P,SW_SPST_B3U-1000P,36.195,-80.01,90.0,top
U1,STM32F072CBT6,Dual_MCU_QFP_QFN_48_with_breakout_pins,60.5,-76.5,90.0,top
U3,MCP1700T-3302E/TT,SOT-23,105.41,-60.96,0.0,top
U4,SRV05-4,SOT-23-6,109.531156,-62.649778,0.0,top
