Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C12,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.082324,-71.6325,-150.0,top
C13,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.065,-69.85,-150.0,top
D0_5,1N4148W,D_SOD-123,151.822,-25.852999,180.0,top
D0_6,1N4148W,D_SOD-123,169.822,-23.352999,180.0,top
D0_7,1N4148W,D_SOD-123,187.822,-17.852999,180.0,top
D0_8,1N4148W,D_SOD-123,205.822,-24.852999,180.0,top
D0_9,1N4148W,D_SOD-123,223.822,-36.752999,180.0,top
D1_5,1N4148W,D_SOD-123,151.822,-42.852999,180.0,top
D1_6,1N4148W,D_SOD-123,169.822,-40.352999,180.0,top
D1_7,1N4148W,D_SOD-123,187.822,-34.852999,180.0,top
D1_8,1N4148W,D_SOD-123,205.822,-41.752999,180.0,top
D1_9,1N4148W,D_SOD-123,223.822,-53.852999,180.0,top
D2_5,1N4148W,D_SOD-123,151.822,-59.852999,180.0,top
D2_6,1N4148W,D_SOD-123,169.822,-57.252999,180.0,top
D2_7,1N4148W,D_SOD-123,187.822,-51.852999,180.0,top
D2_8,1N4148W,D_SOD-123,205.822,-58.852999,180.0,top
D2_9,1N4148W,D_SOD-123,223.822,-70.752999,180.0,top
D3_5,1N4148W,D_SOD-123,140.308039,-85.515084,-150.0,top
D3_6,1N4148W,D_SOD-123,160.108039,-77.215084,-165.0,top
Jack1,PJ-320A,TRRS-PJ-320A,132.732445,-81.29625,120.0,top
K0_5,KEYSW,Choc_PG1350_Choc_Spacing,151.822,-30.552999,0.0,top
K0_6,KEYSW,Choc_PG1350_Choc_Spacing,169.822,-28.052999,0.0,top
K0_7,KEYSW,Choc_PG1350_Choc_Spacing,187.822,-22.552999,0.0,top
K0_8,KEYSW,Choc_PG1350_Choc_Spacing,205.822,-29.552999,0.0,top
K0_9,KEYSW,Choc_PG1350_Choc_Spacing,223.822,-41.552999,0.0,top
K1_5,KEYSW,Choc_PG1350_Choc_Spacing,151.822,-47.552999,0.0,top
K1_6,KEYSW,Choc_PG1350_Choc_Spacing,169.822,-45.052999,0.0,top
K1_7,KEYSW,Choc_PG1350_Choc_Spacing,187.822,-39.552999,0.0,top
K1_8,KEYSW,Choc_PG1350_Choc_Spacing,205.822,-46.552999,0.0,top
K1_9,KEYSW,Choc_PG1350_Choc_Spacing,223.822,-58.552999,0.0,top
K2_5,KEYSW,Choc_PG1350_Choc_Spacing,151.822,-64.552999,0.0,top
K2_6,KEYSW,Choc_PG1350_Choc_Spacing,169.822,-62.052999,0.0,top
K2_7,KEYSW,Choc_PG1350_Choc_Spacing,187.822,-56.552999,0.0,top
K2_8,KEYSW,Choc_PG1350_Choc_Spacing,205.822,-63.552999,0.0,top
K2_9,KEYSW,Choc_PG1350_Choc_Spacing,223.822,-75.552999,0.0,top
K3_5,KEYSW,Choc_PG1350_Choc_Spacing,142.678039,-89.525084,30.0,top
K3_6,KEYSW,Choc_PG1350_Choc_Spacing,161.338039,-81.815084,15.0,top
R6,10kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195.128126,-78.345888,90.0,top
R7,4.7kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.32,-74.295,0.0,top
R8,4.7kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.525,-73.66,30.0,top
U2,MCP23017-E/SO,SOIC-28W_7.5x17.9mm_P1.27mm,187.325,-74.93,0.0,top
