"ID";"指示符";"软件包";"数量";"名称";"供应商和参考";
1;"U1";"Dual_MCU_QFP_QFN_48_with_breakout_pins";1;"STM32F072CBT6";;;
2;"K0_0,K1_3,K0_1,K2_4,K0_3,K2_0,K2_3,K0_4,K1_0,K0_2,K3_4,K1_1,K1_2,K2_1,K1_4,K3_3,K2_2";"Choc_Mini_PG1232_Choc_Spacing";17;"KEYSW";;;
3;"R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5.1kΩ";;;
4;"D2_1,D1_0,D2_4,D2_0,D0_2,D1_1,D0_3,D3_4,D2_2,D3_3,D1_3,D1_2,D0_0,D1_4,D0_4,D0_1,D2_3,D3";"D_SOD-123";18;"1N4148W";;;
5;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
6;"Jack0";"TRRS-PJ-320A";1;"PJ-320A";;;
7;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
8;"C1,C2,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
9;"C3,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uF";;;
10;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7nF";;;
11;"C5,C9,C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"0.1uF";;;
12;"C6,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7uF";;;
13;"D1";"D_SOD-123";1;"SMF9.0CA";;;
14;"D2";"D_SOD-123";1;"RB060M-30TR";;;
15;"Q1";"SOT-23";1;"PDTC123JT,215";;;
16;"R4,R5,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100kΩ";;;
17;"SW1";"SW_SPST_B3U-1000P";1;"B3U-1000P";;;
18;"U3";"SOT-23";1;"MCP1700T-3302E/TT";;;
19;"U4";"SOT-23-6";1;"SRV05-4";;;
