Comment,Designator,Footprint,LCSC
KEYSW,K0_0,Choc_Mini_PG1232_Choc_Spacing,
5.1kΩ,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1N4148W,D2_1,D_SOD-123,
KEYSW,K1_3,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D1_0,D_SOD-123,
1N4148W,D2_4,D_SOD-123,
1N4148W,D2_0,D_SOD-123,
1N4148W,D0_2,D_SOD-123,
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
KEYSW,K0_1,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_4,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_3,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D1_1,D_SOD-123,
1N4148W,D0_3,D_SOD-123,
1N4148W,D3_4,D_SOD-123,
KEYSW,K2_0,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D2_2,D_SOD-123,
KEYSW,K2_3,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D3_3,D_SOD-123,
1N4148W,D1_3,D_SOD-123,
1N4148W,D1_2,D_SOD-123,
5.1kΩ,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1N4148W,D0_0,D_SOD-123,
KEYSW,K0_4,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_0,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_2,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D1_4,D_SOD-123,
1N4148W,D0_4,D_SOD-123,
1N4148W,D0_1,D_SOD-123,
KEYSW,K3_4,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_1,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_2,Choc_Mini_PG1232_Choc_Spacing,
1N4148W,D2_3,D_SOD-123,
KEYSW,K2_1,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_4,Choc_Mini_PG1232_Choc_Spacing,
PJ-320A,Jack0,TRRS-PJ-320A,
KEYSW,K3_3,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_2,Choc_Mini_PG1232_Choc_Spacing,
500mA,F1,Fuse_1206_3216Metric,
1uF,C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1uF,C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10uF,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
4.7nF,C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
4.7uF,C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1uF,C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10uF,C8,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C9,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C10,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
4.7uF,C11,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
SMF9.0CA,D1,D_SOD-123,
RB060M-30TR,D2,D_SOD-123,
1N4148W,D3,D_SOD-123,
"PDTC123JT,215",Q1,SOT-23,
100kΩ,R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100kΩ,R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
B3U-1000P,SW1,SW_SPST_B3U-1000P,
STM32F072CBT6,U1,Dual_MCU_QFP_QFN_48_with_breakout_pins,
MCP1700T-3302E/TT,U3,SOT-23,
SRV05-4,U4,SOT-23-6,
100kΩ,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
