Comment,Designator,Footprint,LCSC
1N4148W,D0_8,D_SOD-123,
1N4148W,D0_7,D_SOD-123,
1N4148W,D0_6,D_SOD-123,
1N4148W,D0_9,D_SOD-123,
1N4148W,D0_5,D_SOD-123,
1N4148W,D1_5,D_SOD-123,
1N4148W,D1_6,D_SOD-123,
1N4148W,D1_7,D_SOD-123,
1N4148W,D1_8,D_SOD-123,
1N4148W,D1_9,D_SOD-123,
1N4148W,D2_6,D_SOD-123,
1N4148W,D2_9,D_SOD-123,
1N4148W,D2_8,D_SOD-123,
1N4148W,D2_5,D_SOD-123,
1N4148W,D2_7,D_SOD-123,
1N4148W,D3_5,D_SOD-123,
1N4148W,D3_6,D_SOD-123,
PJ-320A,Jack1,TRRS-PJ-320A,
KEYSW,K0_9,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_8,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_5,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_6,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K0_7,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_9,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_8,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_7,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_6,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K1_5,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_5,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_6,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_7,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_8,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K2_9,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K3_6,Choc_Mini_PG1232_Choc_Spacing,
KEYSW,K3_5,Choc_Mini_PG1232_Choc_Spacing,
4.7kΩ,R7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C13,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C12,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
MCP23017-E/SO,U2,SOIC-28W_7.5x17.9mm_P1.27mm,
10kΩ,R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
4.7kΩ,R8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
