Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.396873,-55.726612,90.0,top
C2,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.155,-74.93,0.0,top
C3,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-77.25,180.0,top
C4,4.7nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-81.25,180.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.5,-66.5,180.0,top
C6,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58.5,-66.5,0.0,top
C7,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-80.75,0.0,top
C8,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-83.0,0.0,top
C9,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-79.25,0.0,top
C10,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-77.5,180.0,top
C11,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,72.0,-75.25,180.0,top
D0_0,1N4148W,D_SOD-123,22.0,-36.65,0.0,top
D0_1,1N4148W,D_SOD-123,40.0,-24.65,0.0,top
D0_2,1N4148W,D_SOD-123,58.0,-17.65,0.0,top
D0_3,1N4148W,D_SOD-123,76.0,-23.15,0.0,top
D0_4,1N4148W,D_SOD-123,94.0,-25.65,0.0,top
D1,SMF9.0CA,D_SOD-123,108.170001,-68.170003,180.0,top
D1_0,1N4148W,D_SOD-123,22.0,-53.65,0.0,top
D1_1,1N4148W,D_SOD-123,40.0,-41.65,0.0,top
D1_2,1N4148W,D_SOD-123,58.0,-34.65,0.0,top
D1_3,1N4148W,D_SOD-123,76.0,-39.9,0.0,top
D1_4,1N4148W,D_SOD-123,94.0,-42.65,0.0,top
D2,RB060M-30TR,D_SOD-123,108.170001,-70.670003,180.0,top
D2_0,1N4148W,D_SOD-123,22.0,-70.65,0.0,top
D2_1,1N4148W,D_SOD-123,40.0,-58.65,0.0,top
D2_2,1N4148W,D_SOD-123,58.0,-51.8,0.0,top
D2_3,1N4148W,D_SOD-123,76.0,-57.15,0.0,top
D2_4,1N4148W,D_SOD-123,94.0,-59.65,0.0,top
D3,1N4148W,D_SOD-123,45.0,-76.75,0.0,top
D3_3,1N4148W,D_SOD-123,84.365001,-79.054999,-15.0,top
D3_4,1N4148W,D_SOD-123,103.518134,-86.056779,-25.0,top
F1,500mA,Fuse_1206_3216Metric,108.170001,-65.670003,180.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.585,-48.26,90.0,top
Jack0,PJ-320A,TRRS-PJ-320A,111.7925,-76.2,-90.0,top
K0_0,KEYSW,Choc_Mini_PG1232_Choc_Spacing,22.0,-41.0,0.0,top
K0_1,KEYSW,Choc_Mini_PG1232_Choc_Spacing,40.0,-29.0,0.0,top
K0_2,KEYSW,Choc_Mini_PG1232_Choc_Spacing,58.0,-22.0,0.0,top
K0_3,KEYSW,Choc_Mini_PG1232_Choc_Spacing,76.0,-27.5,0.0,top
K0_4,KEYSW,Choc_Mini_PG1232_Choc_Spacing,94.0,-30.0,0.0,top
K1_0,KEYSW,Choc_Mini_PG1232_Choc_Spacing,22.0,-58.0,0.0,top
K1_1,KEYSW,Choc_Mini_PG1232_Choc_Spacing,40.0,-46.0,0.0,top
K1_2,KEYSW,Choc_Mini_PG1232_Choc_Spacing,58.0,-39.0,0.0,top
K1_3,KEYSW,Choc_Mini_PG1232_Choc_Spacing,76.0,-44.5,0.0,top
K1_4,KEYSW,Choc_Mini_PG1232_Choc_Spacing,94.0,-47.0,0.0,top
K2_0,KEYSW,Choc_Mini_PG1232_Choc_Spacing,22.0,-75.0,0.0,top
K2_1,KEYSW,Choc_Mini_PG1232_Choc_Spacing,40.0,-63.0,0.0,top
K2_2,KEYSW,Choc_Mini_PG1232_Choc_Spacing,58.0,-56.0,0.0,top
K2_3,KEYSW,Choc_Mini_PG1232_Choc_Spacing,76.0,-61.5,0.0,top
K2_4,KEYSW,Choc_Mini_PG1232_Choc_Spacing,94.0,-64.0,0.0,top
K3_3,KEYSW,Choc_Mini_PG1232_Choc_Spacing,83.185,-83.185,-15.0,top
K3_4,KEYSW,Choc_Mini_PG1232_Choc_Spacing,101.677994,-89.921865,-25.0,top
Q1,"PDTC123JT,215",SOT-23,45.0,-80.0,0.0,top
R1,5.1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.147204,-54.811285,180.0,top
R2,5.1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.585,-59.055,0.0,top
R3,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.18932,-55.726612,90.0,top
R4,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.585,-80.645,0.0,top
R5,100kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.5,-75.25,180.0,top
SW1,B3U-1000P,SW_SPST_B3U-1000P,36.195,-79.375,-90.0,top
U1,STM32F072CBT6,Dual_MCU_QFP_QFN_48_with_breakout_pins,60.5,-76.5,90.0,top
U3,MCP1700T-3302E/TT,SOT-23,104.775,-57.785,0.0,top
U4,SRV05-4,SOT-23-6,108.170001,-62.420003,0.0,top
