Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C12,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.27,-70.485,90.0,top
C13,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.81,-70.485,90.0,top
D0_5,1N4148W,D_SOD-123,142.0,-25.7,0.0,top
D0_6,1N4148W,D_SOD-123,160.0,-23.2,0.0,top
D0_7,1N4148W,D_SOD-123,178.0,-17.7,0.0,top
D0_8,1N4148W,D_SOD-123,196.0,-24.7,0.0,top
D0_9,1N4148W,D_SOD-123,214.0,-36.6,0.0,top
D1_5,1N4148W,D_SOD-123,142.0,-42.7,0.0,top
D1_6,1N4148W,D_SOD-123,160.0,-40.2,0.0,top
D1_7,1N4148W,D_SOD-123,178.0,-34.7,0.0,top
D1_8,1N4148W,D_SOD-123,196.0,-41.6,0.0,top
D1_9,1N4148W,D_SOD-123,214.0,-53.7,0.0,top
D2_5,1N4148W,D_SOD-123,142.0,-59.7,0.0,top
D2_6,1N4148W,D_SOD-123,160.0,-57.1,0.0,top
D2_7,1N4148W,D_SOD-123,178.0,-51.7,0.0,top
D2_8,1N4148W,D_SOD-123,196.0,-58.7,0.0,top
D2_9,1N4148W,D_SOD-123,214.0,-70.6,0.0,top
D3_5,1N4148W,D_SOD-123,131.995323,-86.339881,25.0,top
D3_6,1N4148W,D_SOD-123,151.166526,-79.324055,15.0,top
Jack1,PJ-320A,TRRS-PJ-320A,123.7925,-76.2,90.0,top
K0_5,KEYSW,Choc_Mini_PG1232_Choc_Spacing,142.0,-30.0,0.0,top
K0_6,KEYSW,Choc_Mini_PG1232_Choc_Spacing,160.0,-27.5,0.0,top
K0_7,KEYSW,Choc_Mini_PG1232_Choc_Spacing,178.0,-22.0,0.0,top
K0_8,KEYSW,Choc_Mini_PG1232_Choc_Spacing,196.0,-29.0,0.0,top
K0_9,KEYSW,Choc_Mini_PG1232_Choc_Spacing,214.0,-41.0,0.0,top
K1_5,KEYSW,Choc_Mini_PG1232_Choc_Spacing,142.0,-47.0,0.0,top
K1_6,KEYSW,Choc_Mini_PG1232_Choc_Spacing,160.0,-44.5,0.0,top
K1_7,KEYSW,Choc_Mini_PG1232_Choc_Spacing,178.0,-39.0,0.0,top
K1_8,KEYSW,Choc_Mini_PG1232_Choc_Spacing,196.0,-46.0,0.0,top
K1_9,KEYSW,Choc_Mini_PG1232_Choc_Spacing,214.0,-58.0,0.0,top
K2_5,KEYSW,Choc_Mini_PG1232_Choc_Spacing,142.0,-64.0,0.0,top
K2_6,KEYSW,Choc_Mini_PG1232_Choc_Spacing,160.0,-61.5,0.0,top
K2_7,KEYSW,Choc_Mini_PG1232_Choc_Spacing,178.0,-56.0,0.0,top
K2_8,KEYSW,Choc_Mini_PG1232_Choc_Spacing,196.0,-63.0,0.0,top
K2_9,KEYSW,Choc_Mini_PG1232_Choc_Spacing,214.0,-75.0,0.0,top
K3_5,KEYSW,Choc_Mini_PG1232_Choc_Spacing,133.765727,-90.198867,25.0,top
K3_6,KEYSW,Choc_Mini_PG1232_Choc_Spacing,152.216525,-83.494054,15.0,top
R6,10kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.065,-72.39,180.0,top
R7,4.7kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.175,-80.645,0.0,top
R8,4.7kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,125.73,-70.485,-90.0,top
U2,MCP23017-E/SO,SOIC-28W_7.5x17.9mm_P1.27mm,178.435,-74.93,0.0,top
